Phage [Phage_Accession],Achromobacter xylosoxidans [NZ_CP014028],Achromobacter xylosoxidans DSM 11852 [No Complete Genome Found],Acinetobacter baumannii 15599 [No Complete Genome Found],Acinetobacter baumannii Acb8/09 [No Complete Genome Found],Acinetobacter johnsonii [NZ_CP140715],Agrobacterium sp. [KY000037],Alteromonas macleodii str. 'Balearic Sea AD45' [CP003873],Bacteroides salyersiae BG8 [No Complete Genome Found],Burkholderia gladioli [NZ_CP022009],Campylobacter jejuni [NZ_CP172379],Cronobacter sakazakii [NZ_CP049154],Delftia acidovorans [NZ_CP066006],Dickeya dadantii BIM B-921 [No Complete Genome Found],E. coli O157:H7 R508 (phage type 14) [No Complete Genome Found],Erwinia amylovora [NZ_CP077850],Escherichia sp. [No Complete Genome Found],Klebsiella aerogenes MAO-MM-7 [No Complete Genome Found],Klebsiella oxytoca [NZ_CP017928],Pantoea agglomerans [NZ_CP016892],Pantoea agglomerans BSL [No Complete Genome Found],Pectobacterium atrosepticum SCRI1043 [NC_004547],Pseudomonas sp. [PY746849],Pseudomonas sp. AY2 [No Complete Genome Found],Pseudomonas sp. F [No Complete Genome Found],Pseudomonas sp. KB1 [No Complete Genome Found],Pseudomonas sp. SH2 [No Complete Genome Found],Pseudomonas syringae 7C [No Complete Genome Found],Pseudomonas syringae CC0094 [No Complete Genome Found],Pseudomonas syringae pv. actinidiae K7A1 [No Complete Genome Found],Salmonella enterica subsp. enterica serovar Pullorum [NZ_CP012348],Salmonella enterica subsp. enterica serovar Pullorum C79-13 [No Complete Genome Found],Salmonella enteritidis [NZ_CP074661],Salmonella sp. [No Complete Genome Found],Serratia marcescens IMBG291 [No Complete Genome Found],Shigella boydii [NZ_CP026795],Stenotrophomonas maltophilia [NZ_AP041801],Stenotrophomonas maltophilia 1640 [No Complete Genome Found],Vibrio parahaemolyticus [NZ_CP013250],Xanthomoans oryzea [No Complete Genome Found],Xanthomonas albilineans CFBP2523 [No Complete Genome Found],Xanthomonas arboricola [NZ_JBWJFR000000000],Xanthomonas arboricola pv. juglandis [NZ_CP168206],Xanthomonas arboricola pv. juglandis IVIA 1317-1a [No Complete Genome Found],Xanthomonas arboricola pv. juglandis X-J303 [No Complete Genome Found],Xanthomonas arboricola pv. pruni [NZ_JBWJFR000000000],Xanthomonas arboricola pv. pruni strain Xcp1 [No Complete Genome Found],Xanthomonas campestris [NZ_CP169751],Xanthomonas campestris XC114 [No Complete Genome Found],Xanthomonas campestris pv. campestris [NZ_CP155977],Xanthomonas campestris pv. campestris CECT 97 [No Complete Genome Found],Xanthomonas campestris pv. campestris GBBC 1412 [No Complete Genome Found],Xanthomonas campestris pv. campestris GBBC 1419 [No Complete Genome Found],Xanthomonas campestris pv. campestris SU1 [No Complete Genome Found],Xanthomonas campestris pv. campestris Tir-1 [No Complete Genome Found],Xanthomonas campestris pv. campestris str. 8004 [NZ_CP155948],Xanthomonas campestris pv. campestris strain Ram 3-1 [No Complete Genome Found],Xanthomonas campestris pv. pelargonii [NZ_CP103838],Xanthomonas citri [NZ_CP118477],Xanthomonas citri 306 [No Complete Genome Found],Xanthomonas citri 3213 [No Complete Genome Found],Xanthomonas citri XCC27-12 [No Complete Genome Found],Xanthomonas citri pv. citr strain XHCZG [No Complete Genome Found],Xanthomonas citri pv. citri [NZ_CP114795],Xanthomonas euvesicatoria [NZ_CP167225],Xanthomonas euvesicatoria 1940 [No Complete Genome Found],Xanthomonas euvesicatoria KACC 18468 [No Complete Genome Found],Xanthomonas euvesicatoria pv. allii XaaBL11 [No Complete Genome Found],Xanthomonas euvesicatoria pv. euvesicatoria [No Complete Genome Found],Xanthomonas fragariae [NZ_CP082179],Xanthomonas hortorum pv. vitians AB16734deltaLPS3 [No Complete Genome Found],Xanthomonas hortorum pv. vitians CFBP8638 (=LM16734) [No Complete Genome Found],Xanthomonas hortorum pv. vitians CFBP8639 [No Complete Genome Found],Xanthomonas hortorum pv. vitians CFBP8640 [No Complete Genome Found],Xanthomonas hortorum pv. vitians CFBP8641 [No Complete Genome Found],Xanthomonas hortorum pv. vitians CFBP8642 [No Complete Genome Found],Xanthomonas hortorum pv. vitians CFBP8643 [No Complete Genome Found],Xanthomonas oryzae [NZ_CP150073],Xanthomonas oryzae PX079 (Phillipine race 3) [No Complete Genome Found],Xanthomonas oryzae pv. oryzae [NZ_CP150073],Xanthomonas oryzae pv. oryzae GX2-3 [No Complete Genome Found],Xanthomonas oryzae pv. oryzae GXB1-2 [No Complete Genome Found],Xanthomonas oryzae pv. oryzae LA1+ [No Complete Genome Found],Xanthomonas oryzae pv. oryzae LN4 [No Complete Genome Found],Xanthomonas oryzae pv. oryzae N1 [No Complete Genome Found],Xanthomonas perforans [NZ_CP173422],Xanthomonas sp. [No Complete Genome Found],Xanthomonas sp. Q [No Complete Genome Found],Xanthomonas sp. SH23 [No Complete Genome Found],Xanthomonas sp. SH47 [No Complete Genome Found],Xanthomonas sp. SH48 [No Complete Genome Found],Xanthomonas sp. XC263 [No Complete Genome Found],Xanthomonas translucens pv. translucens (DSM 18974) [No Complete Genome Found],Xanthomonas vasicola pv. musacearum Xvm9-7 [No Complete Genome Found],Xanthomonas vesicatoria [NZ_CP167993],Xylella fastidiosa [NZ_CP182287]
"Achromobacter phage JWAlpha, complete genome [KF787095.1]",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achromobacter phage JWAlpha, complete genome [NC_023556.1]",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achromobacter phage JWDelta, complete genome [KF787094.1]",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achromobacter phage JWF, complete genome [KP202971.1]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achromobacter phage JWF, complete genome [NC_029075.1]",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acinetobacter phage Acj9, complete genome [HM004124.1]",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acinetobacter phage Acj9, complete genome [NC_014663.1]",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acinetobacter phage SH-Ab 15599, complete genome [MH517022.1]",,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acinetobacter phage vB_AbaM_phiAbaA1, complete genome [KJ628499.1]",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acinetobacter phage vB_AbaM_phiAbaA1, complete genome [NC_031280.1]",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agrobacterium phage Alfirin, complete genome [OR997969.1]",,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alteromonas phage vB_AmaP_AD45-P1, complete genome [KF005317.1]",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alteromonas phage vB_AmaP_AD45-P1, complete genome [NC_021532.1]",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alteromonas phage vB_AmaP_AD45-P2, complete genome [KF005320.1]",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alteromonas phage vB_AmaP_AD45-P3, complete genome [KF005318.1]",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alteromonas phage vB_AmaP_AD45-P4, complete genome [KF005319.1]",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bacteroides phage BS-TP2, complete genome [PQ571275.1]",,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bacteroides phage BS-TP3, complete genome [PQ571276.1]",,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burkholderia phage Maja, complete genome [MT708549.1]",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campylobacter phage NCTC12673, complete genome [GU296433.1]",,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campylobacter phage NCTC12673, complete genome [NC_015464.1]",,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cronobacter phage vB_CsaM_GAP32, complete genome [JN882285.1]",,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cronobacter phage vB_CsaM_GAP32, complete genome [NC_019401.1]",,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delftia phage PhiW-14, complete genome [GQ357915.1]",,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delftia phage PhiW-14, complete genome [NC_013697.1]",,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
