Phage,confidence
"Achromobacter phage JWAlpha, complete genome",0.0102
"Achromobacter phage JWDelta, complete genome",0.0102
"Achromobacter phage JWF, complete genome",0.0510
"Acinetobacter phage Acj9, complete genome",0.0102
"Acinetobacter phage SH-Ab 15599, complete genome",0.0102
"Acinetobacter phage vB_AbaM_phiAbaA1, complete genome",0.0102
"Aeromonas phage 4_L372D, complete genome",0.0408
"Agrobacterium phage Alfirin, complete genome",0.0102
"Alteromonas phage vB_AmaP_AD45-P1, complete genome",0.0102
"Alteromonas phage vB_AmaP_AD45-P2, complete genome",0.0102
"Alteromonas phage vB_AmaP_AD45-P3, complete genome",0.0102
"Alteromonas phage vB_AmaP_AD45-P4, complete genome",0.0102
"Atrivirus PS6, complete genome",0.0408
"Bacillus phage 0524phi7-1, complete genome",0.0408
"Bacillus phage 268TH003, complete genome",0.0408
"Bacillus phage 268TH008, complete genome",0.0408
"Bacillus phage 279BB001, complete genome",0.0408
"Bacillus phage Asciepus, complete genome",0.0408
"Bacillus phage B13, complete genome",0.0408
"Bacillus phage B13S, complete genome",0.0408
"Bacillus phage BC-5, complete genome",0.0408
"Bacillus phage BCC348, complete genome",0.0408
"Bacillus phage Bolokhovo, complete genome",0.0408
"Bacillus phage Bquatquinnuvirus eskimopiis B450C, complete genome",0.0408
"Bacillus phage Bquatquinnuvirus eskimopiis B450T, complete genome",0.0408
"Bacillus phage CM2 DNA, complete genome",0.0408
"Bacillus phage Chedec 11, complete genome",0.0408
"Bacillus phage Edson, complete genome",0.0408
"Bacillus phage Flasso, complete genome",0.0408
"Bacillus phage GH_01, complete genome",0.0408
"Bacillus phage HRZ04p, complete genome",0.0408
"Bacillus phage JBA6, complete genome",0.0408
"Bacillus phage MAC24, complete genome",0.0408
"Bacillus phage MBMR7, complete genome",0.0408
"Bacillus phage Nierus, complete genome",0.0408
"Bacillus phage Novomoskovsk, complete genome",0.0408
"Bacillus phage P37, complete genome",0.0408
"Bacillus phage PBC_MG88, complete genome",0.0408
"Bacillus phage PBC_MG99, complete genome",0.0408
"Bacillus phage PS1, complete genome",0.0408
"Bacillus phage TPL-01, complete genome",0.0408
"Bacillus phage WAH1, complete genome",0.0408
"Bacillus phage Wyvern, complete genome",0.0408
"Bacillus phage vB_BaeroP_SYYB1, complete genome",0.0408
"Bacillus phage vB_BcM_CUBc25, complete genome",0.0408
"Bacillus phage vB_BcM_Sam46, complete genome",0.0408
"Bacillus phage vB_BceH_LBC2, complete genome",0.0408
"Bacillus phage vB_BceP_LY3, complete genome",0.0408
"Bacillus phage vB_BceS_LY1, complete genome",0.0408
"Bacillus phage vB_BceS_LY5, complete genome",0.0408
"Bacillus phage vB_Bl_WP7, complete genome",0.0408
"Bacillus phage vB_BliM_Yucatan, complete genome",0.0408
"Bacillus subtilis subsp. subtilis str. AG1839 chromosome, complete genome",0.0408
"Bacillus subtilis subsp. subtilis str. JH642 substr. AG174 strain JH642 chromosome, complete genome",0.0408
"Bacteriophage D3112, complete genome",0.0408
"Bacteroides phage BKO1-3, complete genome",0.0408
"Bacteroides phage BS-TP2, complete genome",0.0102
"Bacteroides phage BS-TP3, complete genome",0.0102
"Bathycoccus sp. RCC1105 virus BpV1, complete genome",0.0408
"Burkholderia phage Maja, complete genome",0.0102
"Burkholderia phage phiE125, complete genome",0.0408
"Campylobacter phage NCTC12673, complete genome",0.0102
"Caulobacter phage RBC11, complete genome",0.0408
"Cellulosimicrobium phage Basalisk, complete genome",0.0408
"Cellulosimicrobium phage Cerberus, complete genome",0.0408
"Cellulosimicrobium phage Gorgon, complete genome",0.0408
"Cronobacter phage vB_CsaM_GAP32, complete genome",0.0102
"Delftia phage PhiW-14, complete genome",0.0102
"Dickeya phage BIM BV-99, complete genome",0.0102
"Enterococcus phage EA1, complete genome",0.0408
"Enterococcus phage EG-TP1, complete genome",0.0408
"Enterococcus phage PEf771, complete genome",0.0408
"Erwinia amylovora ATCC 49946, complete sequence",0.0408
"Erwinia phage Pastis, complete genome",0.0408
"Erwinia phage phiEa21-4, complete genome",0.0102
"Escherichia phage 5537, complete genome",0.0408
"Escherichia phage 5538_ALONE, complete genome",0.0408
"Escherichia phage 5538_NON_ALONE, complete genome",0.0408
"Escherichia phage 5540, complete genome",0.0408
"Escherichia phage Aidakhar, complete genome",0.0408
"Escherichia phage Anabia, complete genome",0.0408
"Escherichia phage Arnold, complete genome",0.0408
"Escherichia phage Ayan, complete genome",0.0408
"Escherichia phage Azraf, complete genome",0.0408
"Escherichia phage Baiterek, complete genome",0.0408
"Escherichia phage BrunoManser, complete genome",0.0408
"Escherichia phage CLB_P3, complete genome",0.0408
"Escherichia phage CUTI, complete genome",0.0408
"Escherichia phage Char1o2, complete genome",0.0408
"Escherichia phage Char3.1A, complete genome",0.0408
"Escherichia phage Char4.1C, complete genome",0.0408
"Escherichia phage EC-2-32-1, complete genome",0.0408
"Escherichia phage EC1KC, complete genome",0.0408
"Escherichia phage EC3KM, complete genome",0.0408
"Escherichia phage ECP2306, complete genome",0.0408
"Escherichia phage ECP2308, complete genome",0.0408
"Escherichia phage ECP2402, complete genome",0.0408
"Escherichia phage EcoFZ-31, complete genome",0.0408
"Escherichia phage EcoFZ-54S4, complete genome",0.0408
"Escherichia phage GN06, complete genome",0.0408
"Escherichia phage GN07, complete genome",0.0408
"Escherichia phage Inksom_phi25-4, complete genome",0.0408
"Escherichia phage Inksom_phi25-6, complete genome",0.0408
"Escherichia phage Inksom_phi50-4, complete genome",0.0408
"Escherichia phage JLBYU26, complete genome",0.0408
"Escherichia phage Josas_2H4 genome assembly, complete genome: monopartite",0.0408
"Escherichia phage Junood_PK_3, complete genome",0.0408
"Escherichia phage Junood_PK_4, complete genome",0.0408
"Escherichia phage Junood_PK_5, complete genome",0.0408
"Escherichia phage KBU_SV1, complete genome",0.0408
"Escherichia phage KN30, complete genome",0.0408
"Escherichia phage LHE71, complete genome",0.0408
"Escherichia phage LeonhardEuler, complete genome",0.0408
"Escherichia phage Lg3, complete genome",0.0408
"Escherichia phage MEC7, complete genome",0.0408
"Escherichia phage ML-2, complete genome",0.0408
"Escherichia phage Rayhan, complete genome",0.0408
"Escherichia phage S11, complete genome",0.0408
"Escherichia phage SF-E4, complete genome",0.0408
"Escherichia phage Samruk, complete genome",0.0408
"Escherichia phage Serwaa, complete genome",0.0408
"Escherichia phage Shurale, complete genome",0.0408
"Escherichia phage T1, complete genome",0.0408
"Escherichia phage Taldykol, complete genome",0.0408
"Escherichia phage Tiny, complete genome",0.0408
"Escherichia phage Tulpar, complete genome",0.0408
"Escherichia phage Wasif, complete genome",0.0408
"Escherichia phage bV_EcoS_AHP24, complete genome",0.0102
"Escherichia phage bV_EcoS_AHP42, complete genome",0.0102
"Escherichia phage bV_EcoS_AHS24, complete genome",0.0102
"Escherichia phage bV_EcoS_AKS96, complete genome",0.0102
"Escherichia phage ityhuna, complete genome",0.0408
"Escherichia phage jv_4E6 genome assembly, complete genome: monopartite",0.0408
"Escherichia phage mEp409, complete genome",0.0408
"Escherichia phage orkinos, complete genome",0.0408
"Escherichia phage phago12, complete genome",0.0408
"Escherichia phage phiKT, complete genome",0.0102
"Escherichia phage phiM, complete genome",0.0408
"Escherichia phage ue_4C9 genome assembly, complete genome: monopartite",0.0408
"Escherichia phage ue_4E6 genome assembly, complete genome: monopartite",0.0408
"Escherichia phage vB_EcS_Jnl-01, complete genome",0.0408
"Escherichia phage vB_EcoD_Poky, complete genome",0.0408
"Escherichia phage vB_EcoM-DCSW23lw, complete genome",0.0408
"Escherichia phage vB_EcoM-RPN242-TrD10, complete genome",0.0408
"Escherichia phage vB_EcoM_D15, complete genome",0.0408
"Escherichia phage vB_EcoM_ED, complete genome",0.0408
"Escherichia phage vB_EcoM_QH04, complete genome",0.0408
"Escherichia phage vB_EcoM_QH05, complete genome",0.0408
"Escherichia phage vB_EcoM_Ww_Az2, complete genome",0.0408
"Escherichia phage vB_EcoP_P61425, complete genome",0.0408
"Escherichia phage vB_EcoS-NB10, complete genome",0.0408
"Escherichia phage vB_EcoS_Chapo, complete genome",0.0408
"Escherichia phage vB_EcoS_GZMU_EI9, complete genome",0.0408
"Escherichia phage vB_EcoS_SA12KD, complete genome",0.0408
"Escherichia phage vB_EcoS_SA30RD, complete genome",0.0408
"Escherichia phage vB_EcoS_SA32RD, complete genome",0.0408
"Escherichia phage vB_Eco_ppH1, complete genome",0.0408
"Klebsiella phage 2024.TE.12362, complete genome",0.0408
"Klebsiella phage 2024.TE.12363, complete genome",0.0408
"Klebsiella phage 2024.TE.12364, complete genome",0.0408
"Klebsiella phage 2024.TE.12365, complete genome",0.0408
"Klebsiella phage 2024.TE.12369, complete genome",0.0408
"Klebsiella phage 2024.TE.12370, complete genome",0.0408
"Klebsiella phage 2024.TE.12371, complete genome",0.0408
"Klebsiella phage 2024.TE.12372, complete genome",0.0408
"Klebsiella phage B1, complete genome",0.0408
"Klebsiella phage CP-p-KP-21005, complete genome",0.0408
"Klebsiella phage CP-p-KP-21065, complete genome",0.0408
"Klebsiella phage CP-p-KP-21107, complete genome",0.0408
"Klebsiella phage CP-p-KP-22142, complete genome",0.0408
"Klebsiella phage CP-p-KP-22145, complete genome",0.0408
"Klebsiella phage CP-p-KP-22185, complete genome",0.0408
"Klebsiella phage CP-p-KP-23208, complete genome",0.0408
"Klebsiella phage CP-p-KP-23232, complete genome",0.0408
"Klebsiella phage F8_1, complete genome",0.0408
"Klebsiella phage Henu16, complete genome",0.0408
"Klebsiella phage Junood_PK6, complete genome",0.0408
"Klebsiella phage KA2-1, complete genome",0.0510
"Klebsiella phage KBU_SV2, complete genome",0.0408
"Klebsiella phage KP-D-4, complete genome",0.0408
"Klebsiella phage KPTJT11, complete genome",0.0408
"Klebsiella phage Kp_AHMU1, complete genome",0.0408
"Klebsiella phage P1524, complete genome",0.0408
"Klebsiella phage PK9, complete genome",0.0408
"Klebsiella phage PKG, complete genome",0.0408
"Klebsiella phage PKS, complete genome",0.0408
"Klebsiella phage Ptero, complete genome",0.0408
"Klebsiella phage SAKp26.2, complete genome",0.0408
"Klebsiella phage SLAM_phiKP05, complete genome",0.0408
"Klebsiella phage SLAM_phiKP14, complete genome",0.0408
"Klebsiella phage Silvester, complete genome",0.0408
"Klebsiella phage TRK61, complete genome",0.0408
"Klebsiella phage phi1_066047, complete genome",0.0408
"Klebsiella phage phiKO2, complete genome",0.0102
"Klebsiella phage vB_KpnP_ZCKP10, complete genome",0.0408
"Klebsiella phage vB_KpnS_ZX2, complete genome",0.0408
"Lactobacillus phage LP65, complete genome",0.0408
"Microbacterium phage Min1, complete genome",0.0408
"Mycobacterium phage Ablatia, complete genome",0.0408
"Mycobacterium phage Alkhayr, complete genome",0.0408
"Mycobacterium phage Aloeri, complete genome",0.0408
"Mycobacterium phage Amao, complete genome",0.0408
"Mycobacterium phage Baoshan, complete genome",0.0408
