gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
DJJQBMXC_CDS_0001	117	335	+	EU717894.1	-2.409192	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	29980	139.82074	7.053004134948001e-41	No_custom_HMM	No_custom_HMM	No_custom_HMM	29980	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0002	328	633	+	EU717894.1	-8.597047	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	18735	155.71582	7.262272253480178e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	18735	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0003	670	2361	+	EU717894.1	-28768600.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	9	386.494415	7.892079398416057e-115	No_custom_HMM	No_custom_HMM	No_custom_HMM	9	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0004	2371	3663	+	EU717894.1	-326867.3	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	12	348.623779	1.964840457647215e-103	No_custom_HMM	No_custom_HMM	No_custom_HMM	12	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0005	4442	3600	-	EU717894.1	-3985.79	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0006	4402	5586	+	EU717894.1	-11653.25	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	10	301.33374	4.5017506191332285e-89	No_custom_HMM	No_custom_HMM	No_custom_HMM	10	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0007	5677	6198	+	EU717894.1	-262.8886	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	99	215.77623	3.0072411034568253e-63	No_custom_HMM	No_custom_HMM	No_custom_HMM	99	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0008	6195	6536	+	EU717894.1	-11.08053	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	40	73.603188	2.7958613971213635e-20	No_custom_HMM	No_custom_HMM	No_custom_HMM	40	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0009	6536	6910	+	EU717894.1	-2.757855	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	25	36.618404	9.611171416019124e-09	No_custom_HMM	No_custom_HMM	No_custom_HMM	25	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0010	6918	7385	+	EU717894.1	-28.28079	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5	56.706314	6.030528700873336e-15	No_custom_HMM	No_custom_HMM	No_custom_HMM	5	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0011	7382	7735	+	EU717894.1	-67.50641	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	347	40.022472	5.112817395841802e-10	No_custom_HMM	No_custom_HMM	No_custom_HMM	347	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail terminator	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0012	7751	8395	+	EU717894.1	-89.68998	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	584	193.839142	6.182348655756028e-57	No_custom_HMM	No_custom_HMM	No_custom_HMM	584	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	major tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0013	8395	8697	+	EU717894.1	-17.74491	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	569	79.414627	7.470395522299042e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	569	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0014	8835	9008	+	EU717894.1	-5.35652	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	680	45.648705	1.216622889353572e-11	No_custom_HMM	No_custom_HMM	No_custom_HMM	680	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0015	9042	9173	+	EU717894.1	-0.09591565	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0016	9196	10611	+	EU717894.1	-681572.7	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	559	395.668243	8.799838152156212e-118	No_custom_HMM	No_custom_HMM	No_custom_HMM	559	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0017	10660	13581	+	EU717894.1	-13852050000.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	24	614.886963	7.147886394695079e-184	No_custom_HMM	No_custom_HMM	No_custom_HMM	24	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	tail length tape measure protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0018	13581	13940	+	EU717894.1	-461.3942	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	384	79.475693	6.235661446025505e-22	No_custom_HMM	No_custom_HMM	No_custom_HMM	384	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	virion structural protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0019	13937	14398	+	EU717894.1	-184.809	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	396	119.885971	1.7646019497706302e-34	No_custom_HMM	No_custom_HMM	No_custom_HMM	396	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0020	14560	14787	+	EU717894.1	-13.69992	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	329	25.484873	7.10435919123013e-06	No_custom_HMM	No_custom_HMM	No_custom_HMM	329	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	minor tail protein	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0021	14772	19199	+	EU717894.1	-7.456508e+17	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	31	557.966797	1.1476019822561026e-166	No_custom_HMM	No_custom_HMM	No_custom_HMM	31	ab initio prediction:PHANOTATE:1.6.7	CDS	#07e9a2	central tail fiber J	tail	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0022	19210	19710	+	EU717894.1	-258.2617	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	11855	257.818146	1.613525113827427e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	11855	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0023	19710	20009	+	EU717894.1	-8.609507	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	2427	88.85508	4.934678256584568e-25	No_custom_HMM	No_custom_HMM	No_custom_HMM	2427	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0024	20009	20692	+	EU717894.1	-210.5061	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	4062	178.774811	2.482144269497653e-52	No_custom_HMM	No_custom_HMM	No_custom_HMM	4062	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0025	21060	20689	-	EU717894.1	-138.7667	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	16374	227.803238	4.5348081270689476e-68	No_custom_HMM	No_custom_HMM	No_custom_HMM	16374	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0026	21464	21111	-	EU717894.1	-30.68571	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0027	21676	21461	-	EU717894.1	-10.65418	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0028	21738	21956	+	EU717894.1	-17.50277	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	14453	68.851562	5.417587276799826e-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	14453	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	holin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0029	21931	22455	+	EU717894.1	-429.7827	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	7	190.102173	1.1629538172281605e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	7	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	endolysin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0030	22403	22756	+	EU717894.1	-75.88707	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5151	104.074471	1.0303197587495976e-29	No_custom_HMM	No_custom_HMM	No_custom_HMM	5151	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0031	22704	22943	+	EU717894.1	-16.9537	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	456	53.50449	3.081602330780604e-14	No_custom_HMM	No_custom_HMM	No_custom_HMM	456	ab initio prediction:PHANOTATE:1.6.7	CDS	#f35f49	Rz-like spanin	lysis	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0032	22945	23079	+	EU717894.1	-3.372153	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0033	23298	23143	-	EU717894.1	-0.1907188	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0034	23449	23312	-	EU717894.1	-3.025945	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0035	23601	23446	-	EU717894.1	-1.510235	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
DJJQBMXC_CDS_0036	23931	23614	-	EU717894.1	-35.3736	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
