phage_id,host_id,f02_phage_pI_median,f02_host_pI_median,f02_phage_acidity_pct,f02_host_acidity_pct,f02_x_pI,f02_x_acidity,y
AB720063.2,Xanthomonas_citri_306,7.788571,6.539406,10.628506,10.571425,1.249165,0.057081,1
AB720063.2,Xanthomonas_campestris_33913,7.788571,6.412996,10.628506,10.578404,1.375575,0.050102,0
AB720063.2,Xanthomonas_oryzae_KACC10331,7.788571,6.8076,10.628506,10.532599,0.980971,0.095907,0
AB720063.2,Escherichia_coli_K12_MG1655,7.788571,6.199508,10.628506,10.90988,1.589063,0.281374,0
AB720063.2,Bacillus_subtilis_168,7.788571,6.097824,10.628506,12.439846,1.690747,1.81134,0
AB720063.2,Pseudomonas_aeruginosa_PAO1,7.788571,6.207636,10.628506,11.411945,1.580935,0.783439,0
AB720063.2,Staphylococcus_aureus_NCTC8325,7.788571,6.089241,10.628506,12.363042,1.69933,1.734536,0
AB720063.2,Mycobacterium_smegmatis_MC2155,7.788571,5.486122,10.628506,11.70464,2.302449,1.076134,0
AB720063.2,Salmonella_enterica_LT2,7.788571,6.349137,10.628506,10.81046,1.439434,0.181954,0
AB720063.2,Vibrio_cholerae_N16961,7.788571,5.980678,10.628506,11.320969,1.807893,0.692463,0
AB720064.1,Xanthomonas_citri_306,6.242933,6.539406,12.022956,10.571425,0.296473,1.451531,1
AB720064.1,Xanthomonas_campestris_33913,6.242933,6.412996,12.022956,10.578404,0.170063,1.444552,0
AB720064.1,Xanthomonas_oryzae_KACC10331,6.242933,6.8076,12.022956,10.532599,0.564667,1.490357,0
AB720064.1,Escherichia_coli_K12_MG1655,6.242933,6.199508,12.022956,10.90988,0.043425,1.113076,0
AB720064.1,Bacillus_subtilis_168,6.242933,6.097824,12.022956,12.439846,0.145109,0.41689,0
AB720064.1,Pseudomonas_aeruginosa_PAO1,6.242933,6.207636,12.022956,11.411945,0.035297,0.611011,0
AB720064.1,Staphylococcus_aureus_NCTC8325,6.242933,6.089241,12.022956,12.363042,0.153692,0.340086,0
AB720064.1,Mycobacterium_smegmatis_MC2155,6.242933,5.486122,12.022956,11.70464,0.756811,0.318316,0
AB720064.1,Salmonella_enterica_LT2,6.242933,6.349137,12.022956,10.81046,0.106204,1.212496,0
AB720064.1,Vibrio_cholerae_N16961,6.242933,5.980678,12.022956,11.320969,0.262255,0.701987,0
AP008979.1,Xanthomonas_citri_306,6.490069,6.539406,10.902788,10.571425,0.049337,0.331363,0
AP008979.1,Xanthomonas_campestris_33913,6.490069,6.412996,10.902788,10.578404,0.077073,0.324384,0
