phage_id,host_id,y,host_kind,gc_phage,gc_host,x_gc,x_gc_zscore
AB720063.2,Xanthomonas_citri_306,1,host,0.533098,0.647117,0.114019,0.131809
AB720063.2,Xanthomonas_campestris_33913,0,host,0.533098,0.650686,0.117588,0.181098
AB720063.2,Xanthomonas_oryzae_KACC10331,0,host,0.533098,0.636933,0.103835,-0.008836
AB720063.2,Escherichia_coli_K12_MG1655,0,host,0.533098,0.507907,0.025191,-1.094942
AB720063.2,Bacillus_subtilis_168,0,neg,0.533098,0.435144,0.097954,-0.090055
AB720063.2,Pseudomonas_aeruginosa_PAO1,0,neg,0.533098,0.665557,0.132459,0.386473
AB720063.2,Staphylococcus_aureus_NCTC8325,0,neg,0.533098,0.328683,0.204415,1.380215
AB720063.2,Mycobacterium_smegmatis_MC2155,0,neg,0.533098,0.674028,0.14093,0.503461
AB720063.2,Salmonella_enterica_LT2,0,neg,0.533098,0.522389,0.010709,-1.294945
AB720063.2,Vibrio_cholerae_N16961,0,neg,0.533098,0.474875,0.058223,-0.638757
AB720064.1,Xanthomonas_citri_306,1,host,0.670181,0.647117,0.023064,-1.124317
AB720064.1,Xanthomonas_campestris_33913,0,host,0.670181,0.650686,0.019495,-1.173606
AB720064.1,Xanthomonas_oryzae_KACC10331,0,host,0.670181,0.636933,0.033248,-0.983672
AB720064.1,Escherichia_coli_K12_MG1655,0,host,0.670181,0.507907,0.162274,0.798231
AB720064.1,Bacillus_subtilis_168,0,neg,0.670181,0.435144,0.235037,1.803118
AB720064.1,Pseudomonas_aeruginosa_PAO1,0,neg,0.670181,0.665557,0.004624,-1.378981
AB720064.1,Staphylococcus_aureus_NCTC8325,0,neg,0.670181,0.328683,0.341498,3.273388
AB720064.1,Mycobacterium_smegmatis_MC2155,0,neg,0.670181,0.674028,0.003847,-1.389712
AB720064.1,Salmonella_enterica_LT2,0,neg,0.670181,0.522389,0.147792,0.598228
AB720064.1,Vibrio_cholerae_N16961,0,neg,0.670181,0.474875,0.195306,1.254416
AP008979.1,Xanthomonas_citri_306,0,host,0.510757,0.647117,0.13636,0.440348
AP008979.1,Xanthomonas_campestris_33913,0,host,0.510757,0.650686,0.139929,0.489637
AP008979.1,Xanthomonas_oryzae_KACC10331,1,host,0.510757,0.636933,0.126176,0.299702
AP008979.1,Escherichia_coli_K12_MG1655,0,host,0.510757,0.507907,0.00285,-1.403481
AP008979.1,Bacillus_subtilis_168,0,neg,0.510757,0.435144,0.075613,-0.398594
AP008979.1,Pseudomonas_aeruginosa_PAO1,0,neg,0.510757,0.665557,0.1548,0.695012
AP008979.1,Staphylococcus_aureus_NCTC8325,0,neg,0.510757,0.328683,0.182074,1.071677
AP008979.1,Mycobacterium_smegmatis_MC2155,0,neg,0.510757,0.674028,0.163271,0.812
AP008979.1,Salmonella_enterica_LT2,0,neg,0.510757,0.522389,0.011632,-1.282198
AP008979.1,Vibrio_cholerae_N16961,0,neg,0.510757,0.474875,0.035882,-0.947295
EU717894.1,Xanthomonas_citri_306,0,host,0.556397,0.647117,0.09072,-0.18996
EU717894.1,Xanthomonas_campestris_33913,1,host,0.556397,0.650686,0.094289,-0.14067
EU717894.1,Xanthomonas_oryzae_KACC10331,0,host,0.556397,0.636933,0.080536,-0.330605
EU717894.1,Escherichia_coli_K12_MG1655,0,host,0.556397,0.507907,0.04849,-0.773174
EU717894.1,Bacillus_subtilis_168,0,neg,0.556397,0.435144,0.121253,0.231714
EU717894.1,Pseudomonas_aeruginosa_PAO1,0,neg,0.556397,0.665557,0.10916,0.064704
EU717894.1,Staphylococcus_aureus_NCTC8325,0,neg,0.556397,0.328683,0.227714,1.701984
EU717894.1,Mycobacterium_smegmatis_MC2155,0,neg,0.556397,0.674028,0.117631,0.181692
EU717894.1,Salmonella_enterica_LT2,0,neg,0.556397,0.522389,0.034008,-0.973176
EU717894.1,Vibrio_cholerae_N16961,0,neg,0.556397,0.474875,0.081522,-0.316988
JN882298.1,Xanthomonas_citri_306,0,host,0.515889,0.647117,0.131228,0.369472
JN882298.1,Xanthomonas_campestris_33913,0,host,0.515889,0.650686,0.134797,0.418762
JN882298.1,Xanthomonas_oryzae_KACC10331,0,host,0.515889,0.636933,0.121044,0.228827
JN882298.1,Escherichia_coli_K12_MG1655,1,host,0.515889,0.507907,0.007982,-1.332606
JN882298.1,Bacillus_subtilis_168,0,neg,0.515889,0.435144,0.080745,-0.327719
JN882298.1,Pseudomonas_aeruginosa_PAO1,0,neg,0.515889,0.665557,0.149668,0.624137
JN882298.1,Staphylococcus_aureus_NCTC8325,0,neg,0.515889,0.328683,0.187206,1.142552
JN882298.1,Mycobacterium_smegmatis_MC2155,0,neg,0.515889,0.674028,0.158139,0.741125
JN882298.1,Salmonella_enterica_LT2,0,neg,0.515889,0.522389,0.0065,-1.353073
JN882298.1,Vibrio_cholerae_N16961,0,neg,0.515889,0.474875,0.041014,-0.87642
