gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
MUNRCRJK_CDS_0001	248	123	-	AP008979.1	-0.06303339	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0002	782	294	-	AP008979.1	-235.9074	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0003	723	908	+	AP008979.1	-45.90007	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0004	905	2590	+	AP008979.1	-2367965000.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	9	339.83963	1.0058290906751037e-100	No_custom_HMM	No_custom_HMM	No_custom_HMM	9	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0005	2600	3898	+	AP008979.1	-11469580.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	12	352.943329	9.680926393919859e-105	No_custom_HMM	No_custom_HMM	No_custom_HMM	12	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0006	3907	4644	+	AP008979.1	-15697.92	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	94	242.084061	4.66042985317636e-71	No_custom_HMM	No_custom_HMM	No_custom_HMM	94	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0007	4663	5835	+	AP008979.1	-62223.21	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	10	259.51709	1.9968205328061294e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	10	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0008	5882	6229	+	AP008979.1	-430.5453	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	40	67.751457	1.733490621021588e-18	No_custom_HMM	No_custom_HMM	No_custom_HMM	40	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head-tail adaptor Ad1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0009	6229	6603	+	AP008979.1	-121.8847	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	25	38.811371	2.0630085829840158e-09	No_custom_HMM	No_custom_HMM	No_custom_HMM	25	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	head closure Hc1	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
MUNRCRJK_CDS_0010	6563	7066	+	AP008979.1	-1351.149	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	5	52.492832	1.1679606802153327e-13	No_custom_HMM	No_custom_HMM	No_custom_HMM	5	ab initio prediction:PHANOTATE:1.6.7	CDS	#35d7ff	tail completion or Neck1 protein	connector	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
