phage_id,host_id,y
AB720063.2,Xanthomonas_citri_306,1
AB720064.1,Xanthomonas_citri_306,1
EU717894.1,Xanthomonas_campestris_33913,1
AP008979.1,Xanthomonas_oryzae_KACC10331,1
JN882298.1,Escherichia_coli_K12,1
AB720063.2,Bacillus_subtilis_168,0
AB720064.1,Bacillus_subtilis_168,0
EU717894.1,Bacillus_subtilis_168,0
AP008979.1,Bacillus_subtilis_168,0
JN882298.1,Bacillus_subtilis_168,0
AB720063.2,Pseudomonas_aeruginosa_PAO1,0
AB720064.1,Pseudomonas_aeruginosa_PAO1,0
EU717894.1,Pseudomonas_aeruginosa_PAO1,0
AP008979.1,Pseudomonas_aeruginosa_PAO1,0
JN882298.1,Pseudomonas_aeruginosa_PAO1,0
AB720063.2,Staphylococcus_aureus_NCTC8325,0
AB720064.1,Staphylococcus_aureus_NCTC8325,0
EU717894.1,Staphylococcus_aureus_NCTC8325,0
AP008979.1,Staphylococcus_aureus_NCTC8325,0
JN882298.1,Staphylococcus_aureus_NCTC8325,0
AB720063.2,Mycobacterium_smegmatis_MC2155,0
AB720064.1,Mycobacterium_smegmatis_MC2155,0
EU717894.1,Mycobacterium_smegmatis_MC2155,0
AP008979.1,Mycobacterium_smegmatis_MC2155,0
JN882298.1,Mycobacterium_smegmatis_MC2155,0
AB720063.2,Salmonella_enterica_LT2,0
AB720064.1,Salmonella_enterica_LT2,0
EU717894.1,Salmonella_enterica_LT2,0
AP008979.1,Salmonella_enterica_LT2,0
JN882298.1,Salmonella_enterica_LT2,0
AB720063.2,Vibrio_cholerae_N16961,0
AB720064.1,Vibrio_cholerae_N16961,0
EU717894.1,Vibrio_cholerae_N16961,0
AP008979.1,Vibrio_cholerae_N16961,0
JN882298.1,Vibrio_cholerae_N16961,0
