gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
ASEPUSLS_CDS_0001	1	90	+	AB720063.2	-2.332372	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0002	106	333	+	AB720063.2	-3.89276	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	29980	156.341965	4.913957038998917e-46	No_custom_HMM	No_custom_HMM	No_custom_HMM	29980	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0003	320	628	+	AB720063.2	-20.04152	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	18735	165.448074	6.753014121300851e-49	No_custom_HMM	No_custom_HMM	No_custom_HMM	18735	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase small subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0004	692	1315	+	AB720063.2	-31.01714	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	314	76.448547	4.361914558511242e-21	No_custom_HMM	No_custom_HMM	No_custom_HMM	314	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0005	1349	3055	+	AB720063.2	-412374300.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	9	342.285919	1.832008887501012e-101	No_custom_HMM	No_custom_HMM	No_custom_HMM	9	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	terminase large subunit	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0006	3079	3723	+	AB720063.2	-312.2666	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	314	91.873718	9.284281076973318e-26	No_custom_HMM	No_custom_HMM	No_custom_HMM	314	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0007	3734	5029	+	AB720063.2	-4334798.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	12	359.463287	1.0292064557050712e-106	No_custom_HMM	No_custom_HMM	No_custom_HMM	12	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	portal protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0008	5026	5745	+	AB720063.2	-3804.226	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	94	260.178284	1.551299650063173e-76	No_custom_HMM	No_custom_HMM	No_custom_HMM	94	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	head maturation protease	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0009	5760	6944	+	AB720063.2	-83794.04	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	10	304.929504	3.680311272783801e-90	No_custom_HMM	No_custom_HMM	No_custom_HMM	10	ab initio prediction:PHANOTATE:1.6.7	CDS	#3e83f6	major head protein	head and packaging	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
ASEPUSLS_CDS_0010	7029	7526	+	AB720063.2	-924.2011	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	99	189.199081	3.56651524285019e-55	No_custom_HMM	No_custom_HMM	No_custom_HMM	99	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
