phage_acc,host_acc,host_organism,label,source,confidence,notes
EU717894.1,GCF_000007145.1,Xanthomonas campestris pv. campestris ATCC 33913,1,literature_curated,0.950000,Wang 2003 Mol Microbiol 48:1049 (receptor); Lee 2009 AEM 75:7828 (genome)
NC_054459.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: NC_054459.1
ON758385.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: ON758385.1
ON711490.1,,Xanthomonas campestris XC114,1,literature_curated,0.800000,NCBI: ON711490.1
OP067662.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: OP067662.1
ON996340.1,NZ_CP167225,Xanthomonas euvesicatoria,1,literature_curated,0.800000,NCBI: ON996340.1
ON932078.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932078.1
ON932079.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932079.1
ON932080.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932080.1
ON932081.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932081.1
ON932082.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932082.1
ON932083.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932083.1
ON932084.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932084.1
ON932085.1,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON932085.1
OP292654.1,NZ_CP167993,Xanthomonas vesicatoria,1,literature_curated,0.800000,NCBI: OP292654.1
ON911538.2,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON911538.2
ON911539.2,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON911539.2
ON911540.2,,Xanthomonas arboricola pv. juglandis IVIA 1317-1a,1,literature_curated,0.800000,NCBI: ON911540.2
AB720063.2,NZ_CP118477,Xanthomonas citri,1,literature_curated,0.800000,NCBI: AB720063.2
ON189047.1,,Xanthomonas translucens pv. translucens (DSM 18974),1,literature_curated,0.800000,NCBI: ON189047.1
ON189045.1,,Xanthomonas translucens pv. translucens (DSM 18974),1,literature_curated,0.800000,NCBI: ON189045.1
ON189044.1,,Xanthomonas translucens pv. translucens (DSM 18974),1,literature_curated,0.800000,NCBI: ON189044.1
OK258140.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: OK258140.1
MZ666966.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MZ666966.1
MN364664.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MN364664.1
GU296433.1,NZ_CP172379,Campylobacter jejuni,1,literature_curated,0.800000,NCBI: GU296433.1
OK624832.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: OK624832.1
MZ345003.1,NZ_CP155977,Xanthomonas campestris pv. campestris,1,literature_curated,0.800000,NCBI: MZ345003.1
OL436139.1,,Salmonella enterica subsp. enterica serovar Pullorum C79-13,1,literature_curated,0.800000,NCBI: OL436139.1
OK258138.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: OK258138.1
OK275492.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: OK275492.1
ON189043.1,,Xanthomonas translucens pv. translucens (DSM 18974),1,literature_curated,0.800000,NCBI: ON189043.1
OK275493.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: OK275493.1
OK275494.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: OK275494.1
OK275495.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: OK275495.1
DQ777876.1,NZ_CP150073,Xanthomonas oryzae,1,literature_curated,0.800000,NCBI: DQ777876.1
MZ326867.1,NZ_AP041801,Stenotrophomonas maltophilia,1,literature_curated,0.800000,NCBI: MZ326867.1
MW825358.1,,Xanthomonas citri 306,1,literature_curated,0.800000,NCBI: MW825358.1
ON189042.1,,Xanthomonas translucens pv. translucens (DSM 18974),1,literature_curated,0.800000,NCBI: ON189042.1
OP583591.1,NZ_CP173422,Xanthomonas perforans,1,literature_curated,0.800000,NCBI: OP583591.1
OP583592.1,NZ_CP173422,Xanthomonas perforans,1,literature_curated,0.800000,NCBI: OP583592.1
OP583593.1,NZ_CP173422,Xanthomonas perforans,1,literature_curated,0.800000,NCBI: OP583593.1
NC_030937.1,,Xanthomonas arboricola pv. juglandis X-J303,1,literature_curated,0.800000,NCBI: NC_030937.1
NC_024789.1,,E. coli O157:H7 R508 (phage type 14),1,literature_curated,0.800000,NCBI: NC_024789.1
NC_024793.1,,E. coli O157:H7 R508 (phage type 14),1,literature_curated,0.800000,NCBI: NC_024793.1
NC_029075.1,NZ_CP014028,Achromobacter xylosoxidans,1,literature_curated,0.800000,NCBI: NC_029075.1
NC_031280.1,,Acinetobacter baumannii Acb8/09,1,literature_curated,0.800000,NCBI: NC_031280.1
NC_042344.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: NC_042344.1
NC_042345.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: NC_042345.1
NC_030928.1,,Xanthomonas arboricola pv. juglandis X-J303,1,literature_curated,0.800000,NCBI: NC_030928.1
NC_047762.1,NZ_CP168206,Xanthomonas arboricola pv. juglandis,1,literature_curated,0.800000,NCBI: NC_047762.1
NC_023569.1,NZ_CP013250,Vibrio parahaemolyticus,1,literature_curated,0.800000,NCBI: NC_023569.1
NC_052966.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: NC_052966.1
NC_054460.1,NZ_CP167225,Xanthomonas euvesicatoria,1,literature_curated,0.800000,NCBI: NC_054460.1
NC_047840.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: NC_047840.1
NC_047962.1,NZ_CP169751,Xanthomonas campestris,1,literature_curated,0.800000,NCBI: NC_047962.1
NC_048137.1,NZ_CP016892,Pantoea agglomerans,1,literature_curated,0.800000,NCBI: NC_048137.1
NC_048703.1,NZ_CP082179,Xanthomonas fragariae,1,literature_curated,0.800000,NCBI: NC_048703.1
NC_048751.1,,Pantoea agglomerans BSL,1,literature_curated,0.800000,NCBI: NC_048751.1
NC_024784.1,,E. coli O157:H7 R508 (phage type 14),1,literature_curated,0.800000,NCBI: NC_024784.1
NC_023556.1,,Achromobacter xylosoxidans DSM 11852,1,literature_curated,0.800000,NCBI: NC_023556.1
OP583594.1,NZ_CP173422,Xanthomonas perforans,1,literature_curated,0.800000,NCBI: OP583594.1
NC_014663.1,NZ_CP140715,Acinetobacter johnsonii,1,literature_curated,0.800000,NCBI: NC_014663.1
OP583595.1,NZ_CP173422,Xanthomonas perforans,1,literature_curated,0.800000,NCBI: OP583595.1
NC_005857.1,NZ_CP017928,Klebsiella oxytoca,1,literature_curated,0.800000,NCBI: NC_005857.1
NC_007024.1,NZ_CP103838,Xanthomonas campestris pv. pelargonii,1,literature_curated,0.800000,NCBI: NC_007024.1
NC_011811.1,NZ_CP077850,Erwinia amylovora,1,literature_curated,0.800000,NCBI: NC_011811.1
NC_012742.1,NZ_CP155977,Xanthomonas campestris pv. campestris,1,literature_curated,0.800000,NCBI: NC_012742.1
NC_013697.1,NZ_CP066006,Delftia acidovorans,1,literature_curated,0.800000,NCBI: NC_013697.1
NC_013693.1,NZ_CP026795,Shigella boydii,1,literature_curated,0.800000,NCBI: NC_013693.1
NC_016071.1,NZ_CP074661,Salmonella enteritidis,1,literature_curated,0.800000,NCBI: NC_016071.1
NC_022987.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: NC_022987.1
NC_017981.1,NZ_CP167993,Xanthomonas vesicatoria,1,literature_curated,0.800000,NCBI: NC_017981.1
NC_019401.1,NC_017933,Cronobacter sakazakii,1,literature_curated,0.800000,NCBI: NC_019401.1
NC_019520.1,,Escherichia sp.,1,literature_curated,0.800000,NCBI: NC_019520.1
NC_020201.1,NC_004547,Pectobacterium atrosepticum SCRI1043,1,literature_curated,0.800000,NCBI: NC_020201.1
NC_020205.1,NZ_CP118477,Xanthomonas citri,1,literature_curated,0.800000,NCBI: NC_020205.1
NC_021532.1,CP003873,Alteromonas macleodii str. 'Balearic Sea AD45',1,literature_curated,0.800000,NCBI: NC_021532.1
NC_022982.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: NC_022982.1
MZ666965.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MZ666965.1
MW822539.1,,Xanthomonas albilineans CFBP2523,1,literature_curated,0.800000,NCBI: MW822539.1
MW822538.1,,Xanthomonas albilineans CFBP2523,1,literature_curated,0.800000,NCBI: MW822538.1
KF626667.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: KF626667.1
KF771238.1,,E. coli O157:H7 R508 (phage type 14),1,literature_curated,0.800000,NCBI: KF771238.1
KF771239.1,,E. coli O157:H7 R508 (phage type 14),1,literature_curated,0.800000,NCBI: KF771239.1
KF623293.1,NZ_CP013250,Vibrio parahaemolyticus,1,literature_curated,0.800000,NCBI: KF623293.1
KP202971.1,NZ_CP014028,Achromobacter xylosoxidans,1,literature_curated,0.800000,NCBI: KP202971.1
KJ628499.1,,Acinetobacter baumannii Acb8/09,1,literature_curated,0.800000,NCBI: KJ628499.1
JQ015307.1,NC_004547,Pectobacterium atrosepticum SCRI1043,1,literature_curated,0.800000,NCBI: JQ015307.1
KF626666.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: KF626666.1
KU595432.1,,Xanthomonas arboricola pv. juglandis X-J303,1,literature_curated,0.800000,NCBI: KU595432.1
KF771236.1,,E. coli O157:H7 R508 (phage type 14),1,literature_curated,0.800000,NCBI: KF771236.1
KU595433.1,,Xanthomonas arboricola pv. juglandis X-J303,1,literature_curated,0.800000,NCBI: KU595433.1
KU197013.1,NZ_CP168206,Xanthomonas arboricola pv. juglandis,1,literature_curated,0.800000,NCBI: KU197013.1
KU197014.1,NZ_CP168206,Xanthomonas arboricola pv. juglandis,1,literature_curated,0.800000,NCBI: KU197014.1
KX241618.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: KX241618.1
MF375456.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: MF375456.1
AP018399.1,NZ_CP118477,Xanthomonas citri,1,literature_curated,0.800000,NCBI: AP018399.1
MH059633.1,NZ_CP169751,Xanthomonas campestris,1,literature_curated,0.800000,NCBI: MH059633.1
KF771237.1,,E. coli O157:H7 R508 (phage type 14),1,literature_curated,0.800000,NCBI: KF771237.1
JN882285.1,NC_017933,Cronobacter sakazakii,1,literature_curated,0.800000,NCBI: JN882285.1
KY210139.1,NZ_CP167225,Xanthomonas euvesicatoria,1,literature_curated,0.800000,NCBI: KY210139.1
JN022534.1,NZ_CP167993,Xanthomonas vesicatoria,1,literature_curated,0.800000,NCBI: JN022534.1
PX408738.1,NZ_CP167225,Xanthomonas euvesicatoria,1,literature_curated,0.800000,NCBI: PX408738.1
EU710883.1,NZ_CP077850,Erwinia amylovora,1,literature_curated,0.800000,NCBI: EU710883.1
EU717894.1,NZ_CP155977,Xanthomonas campestris pv. campestris,1,literature_curated,0.800000,NCBI: EU717894.1
HM004124.1,NZ_CP140715,Acinetobacter johnsonii,1,literature_curated,0.800000,NCBI: HM004124.1
FJ373894.1,NZ_CP026795,Shigella boydii,1,literature_curated,0.800000,NCBI: FJ373894.1
GU070616.1,NZ_CP074661,Salmonella enteritidis,1,literature_curated,0.800000,NCBI: GU070616.1
JN882298.1,,Escherichia sp.,1,literature_curated,0.800000,NCBI: JN882298.1
KF005317.1,CP003873,Alteromonas macleodii str. 'Balearic Sea AD45',1,literature_curated,0.800000,NCBI: KF005317.1
KF626668.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: KF626668.1
KF005318.1,CP003873,Alteromonas macleodii str. 'Balearic Sea AD45',1,literature_curated,0.800000,NCBI: KF005318.1
KF005319.1,CP003873,Alteromonas macleodii str. 'Balearic Sea AD45',1,literature_curated,0.800000,NCBI: KF005319.1
KF005320.1,CP003873,Alteromonas macleodii str. 'Balearic Sea AD45',1,literature_curated,0.800000,NCBI: KF005320.1
AB720064.1,NZ_CP118477,Xanthomonas citri,1,literature_curated,0.800000,NCBI: AB720064.1
KF787094.1,,Achromobacter xylosoxidans DSM 11852,1,literature_curated,0.800000,NCBI: KF787094.1
KF787095.1,,Achromobacter xylosoxidans DSM 11852,1,literature_curated,0.800000,NCBI: KF787095.1
KF626665.1,NZ_CP182287,Xylella fastidiosa,1,literature_curated,0.800000,NCBI: KF626665.1
MH517022.1,,Acinetobacter baumannii 15599,1,literature_curated,0.800000,NCBI: MH517022.1
MK095605.1,NZ_CP016892,Pantoea agglomerans,1,literature_curated,0.800000,NCBI: MK095605.1
MW822537.1,,Xanthomonas albilineans CFBP2523,1,literature_curated,0.800000,NCBI: MW822537.1
MT161383.1,,Xanthomonas campestris pv. campestris GBBC 1419,1,literature_curated,0.800000,NCBI: MT161383.1
MT740307.1,,Pseudomonas syringae pv. actinidiae K7A1,1,literature_curated,0.800000,NCBI: MT740307.1
MT708549.1,NZ_CP022009,Burkholderia gladioli,1,literature_curated,0.800000,NCBI: MT708549.1
MH191395.1,NZ_CP155977,Xanthomonas campestris pv. campestris,1,literature_curated,0.800000,NCBI: MH191395.1
MW082583.1,,Serratia marcescens IMBG291,1,literature_curated,0.800000,NCBI: MW082583.1
MT653137.1,NZ_CP012348,Salmonella enterica subsp. enterica serovar Pullorum,1,literature_curated,0.800000,NCBI: MT653137.1
MT161381.1,,Xanthomonas campestris pv. campestris GBBC 1419,1,literature_curated,0.800000,NCBI: MT161381.1
MT161382.1,,Xanthomonas campestris pv. campestris GBBC 1419,1,literature_curated,0.800000,NCBI: MT161382.1
MT161384.1,,Xanthomonas campestris pv. campestris GBBC 1419,1,literature_curated,0.800000,NCBI: MT161384.1
MT664984.1,NZ_CP150073,Xanthomonas oryzae,1,literature_curated,0.800000,NCBI: MT664984.1
MT161386.1,,Xanthomonas campestris pv. campestris GBBC 1412,1,literature_curated,0.800000,NCBI: MT161386.1
MT161387.1,,Xanthomonas campestris pv. campestris GBBC 1412,1,literature_curated,0.800000,NCBI: MT161387.1
MT161385.1,,Xanthomonas campestris pv. campestris GBBC 1412,1,literature_curated,0.800000,NCBI: MT161385.1
MT951568.1,,Xanthomonas euvesicatoria pv. allii XaaBL11,1,literature_curated,0.800000,NCBI: MT951568.1
MW802488.1,,Xanthomonas albilineans CFBP2523,1,literature_curated,0.800000,NCBI: MW802488.1
MW822535.1,,Xanthomonas albilineans CFBP2523,1,literature_curated,0.800000,NCBI: MW822535.1
MW822536.1,,Xanthomonas albilineans CFBP2523,1,literature_curated,0.800000,NCBI: MW822536.1
MT939492.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MT939492.1
MN047793.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MN047793.1
MK095606.1,NZ_CP016892,Pantoea agglomerans,1,literature_curated,0.800000,NCBI: MK095606.1
GQ357915.1,NZ_CP066006,Delftia acidovorans,1,literature_curated,0.800000,NCBI: GQ357915.1
MK388689.1,,Pantoea agglomerans BSL,1,literature_curated,0.800000,NCBI: MK388689.1
MG944228.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944228.1
MG944229.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944229.1
MG944231.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944231.1
MG944233.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944233.1
MG944234.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944234.1
MG944236.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944236.1
MG944227.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944227.1
MK903278.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: MK903278.1
MG944230.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944230.1
MG944232.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944232.1
MG944235.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: MG944235.1
MG983743.2,NZ_CP082179,Xanthomonas fragariae,1,literature_curated,0.800000,NCBI: MG983743.2
MN461279.1,NZ_CP167993,Xanthomonas vesicatoria,1,literature_curated,0.800000,NCBI: MN461279.1
MT119766.1,,Xanthomonas campestris pv. campestris strain Ram 3-1,1,literature_curated,0.800000,NCBI: MT119766.1
MN062187.1,,Xanthomonas sp.,1,literature_curated,0.800000,NCBI: MN062187.1
NC_054458.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: NC_054458.1
PX408739.1,NZ_CP167225,Xanthomonas euvesicatoria,1,literature_curated,0.800000,NCBI: PX408739.1
NC_069155.1,,Serratia marcescens IMBG291,1,literature_curated,0.800000,NCBI: NC_069155.1
PX530551.1,,Xanthomoans oryzea,1,literature_curated,0.800000,NCBI: PX530551.1
PV764599.1,,Xanthomonas hortorum pv. vitians CFBP8641,1,literature_curated,0.800000,NCBI: PV764599.1
PV764600.1,,Xanthomonas hortorum pv. vitians CFBP8643,1,literature_curated,0.800000,NCBI: PV764600.1
PV764601.1,,Xanthomonas hortorum pv. vitians CFBP8640,1,literature_curated,0.800000,NCBI: PV764601.1
PV764602.1,,Xanthomonas hortorum pv. vitians CFBP8640,1,literature_curated,0.800000,NCBI: PV764602.1
PV764603.1,,Xanthomonas hortorum pv. vitians CFBP8640,1,literature_curated,0.800000,NCBI: PV764603.1
PP431385.1,NZ_CP118477,Xanthomonas citri,1,literature_curated,0.800000,NCBI: PP431385.1
NC_128954.1,NZ_CP168206,Xanthomonas arboricola pv. juglandis,1,literature_curated,0.800000,NCBI: NC_128954.1
PX310626.1,,Xanthomonas citri 3213,1,literature_curated,0.800000,NCBI: PX310626.1
OP413789.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: OP413789.1
PQ093899.1,NZ_CP169751,Xanthomonas campestris,1,literature_curated,0.800000,NCBI: PQ093899.1
PX444441.1,,Xanthomonas sp. XC263,1,literature_curated,0.800000,NCBI: PX444441.1
PX682299.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682299.1
PX682300.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682300.1
PX682301.1,,Xanthomonas oryzae pv. oryzae LN4,1,literature_curated,0.800000,NCBI: PX682301.1
PX682302.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682302.1
PX682303.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682303.1
PX682304.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682304.1
PX682305.1,NZ_CP150073,Xanthomonas oryzae pv. oryzae,1,literature_curated,0.800000,NCBI: PX682305.1
PV764598.1,,Xanthomonas hortorum pv. vitians CFBP8639,1,literature_curated,0.800000,NCBI: PV764598.1
PV037726.1,NZ_CP169751,Xanthomonas campestris,1,literature_curated,0.800000,NCBI: PV037726.1
PV754127.1,,Xanthomonas hortorum pv. vitians AB16734deltaLPS3,1,literature_curated,0.800000,NCBI: PV754127.1
PV702347.1,,Xanthomonas hortorum pv. vitians CFBP8642,1,literature_curated,0.800000,NCBI: PV702347.1
OQ446484.1,NZ_CP166095,Xanthomonas arboricola,1,literature_curated,0.800000,NCBI: OQ446484.1
OQ446486.1,NZ_CP166095,Xanthomonas arboricola,1,literature_curated,0.800000,NCBI: OQ446486.1
OQ446487.1,NZ_CP166095,Xanthomonas arboricola,1,literature_curated,0.800000,NCBI: OQ446487.1
PQ476032.1,NZ_CP114795,Xanthomonas citri pv. citri,1,literature_curated,0.800000,NCBI: PQ476032.1
PV012638.1,NZ_CP118477,Xanthomonas citri,1,literature_curated,0.800000,NCBI: PV012638.1
