accession,description,length_bp,source,host_genus,in_interaction_matrix
AB720063.2,"Xanthomonas phage CP1 DNA, complete genome",43870,canonical_xanthomonas,Xanthomonas,yes
AB720064.1,"Xanthomonas citri phage CP2 DNA, complete genome",42963,canonical_xanthomonas,Unknown,yes
AE017220.1,Salmonella enterica serovar Choleraesuis SC-B67 BACTERIAL GENOME — incorrectly placed in phage pool. Must be removed from phage dataset.,4755700,CONTAMINATION,Salmonella,yes
AP008979.1,"Xanthomonas phage OP1 DNA, complete genome",43785,canonical_xanthomonas,Xanthomonas,yes
AP008986.1,"Xanthomonas oryzae phage OP2 DNA, complete genome",46643,canonical_xanthomonas,Unknown,yes
AP018399.1,"Xanthomonas phage XacN1 DNA, complete genome",384670,canonical_xanthomonas,Xanthomonas,yes
AY299121.1,"Xanthomonas phage Xp10, complete genome",44373,canonical_xanthomonas,Xanthomonas,yes
AY374448.1,"Bacteriophage phiKO2, complete genome",51601,canonical_xanthomonas,Unknown,yes
AY394005.1,"Pseudomonas phage D3112, complete genome",,negative_pool,Pseudomonas,no
AY682195.1,"Lactobacillus phage LP65, complete genome",,negative_pool,Lactobacillus,no
AY986977.1,"Xanthomonas campestris pv. pelargonii phage Xp15, complete genome",55770,canonical_xanthomonas,Unknown,yes
DQ222855.1,"Wbetavirus gamma53 isolate 53, complete genome",,negative_pool,Unknown,no
DQ777876.1,"Xanthomonas phage Xop411, complete genome",44520,canonical_xanthomonas,Xanthomonas,yes
EF177456.2,"Salmonella phage SETP3, complete genome",42572,canonical_xanthomonas,Salmonella,yes
EU710883.1,"Erwinia phage phiEa21-4, complete genome",84576,canonical_xanthomonas,Erwinia,yes
EU717894.1,"Xanthomonas phage phiL7, complete genome",44080,canonical_xanthomonas,Xanthomonas,yes
FJ373894.1,"Shigella phage phiSboM-AG3, complete genome",158006,canonical_xanthomonas,Shigella,yes
FQ312032.1,Salmonella phage Vi01 complete sequence,,negative_pool,Salmonella,no
GQ357915.1,"Delftia phage PhiW-14, complete genome",157486,canonical_xanthomonas,Delftia,yes
GU070616.1,"Salmonella phage PVP-SE1, complete genome",145964,canonical_xanthomonas,Salmonella,yes
GU296433.1,"Campylobacter phage NCTC12673, complete genome",135041,canonical_xanthomonas,Campylobacter,yes
HM004124.1,"Acinetobacter phage Acj9, complete genome",169947,canonical_xanthomonas,Acinetobacter,yes
HM246720.1,"Campylobacter phage vB_CcoM-IBB_35 clone Contig1, complete genome",53237,canonical_xanthomonas,Campylobacter,yes
JN022534.1,"Xanthomonas phage vB_XveM_DIBBI, complete genome",49981,canonical_xanthomonas,Xanthomonas,yes
JN882285.1,"Cronobacter phage vB_CsaM_GAP32, complete genome",358663,canonical_xanthomonas,Cronobacter,yes
JN882298.1,"Escherichia phage phiKT, complete genome",42608,canonical_xanthomonas,Escherichia,yes
JQ015307.1,"Pectobacterium phage phiTE, complete genome",142349,canonical_xanthomonas,Pectobacterium,yes
KF005317.1,"Alteromonas phage vB_AmaP_AD45-P1, complete genome",103910,canonical_xanthomonas,Alteromonas,yes
KF005318.1,"Alteromonas phage vB_AmaP_AD45-P3, complete genome",101724,canonical_xanthomonas,Alteromonas,yes
KF005319.1,"Alteromonas phage vB_AmaP_AD45-P4, complete genome",100619,canonical_xanthomonas,Alteromonas,yes
KF005320.1,"Alteromonas phage vB_AmaP_AD45-P2, complete genome",104036,canonical_xanthomonas,Alteromonas,yes
KF148055.1,"Salmonella phage Jersey, complete genome",43447,canonical_xanthomonas,Salmonella,yes
KF623293.1,"Vibrio phage SHOU24, complete genome",77837,canonical_xanthomonas,Vibrio,yes
KF626665.1,"Phage Sano, complete genome",56147,canonical_xanthomonas,Unknown,yes
KF626666.1,"Xylella phage Paz, complete genome",43869,canonical_xanthomonas,Xylella,yes
KF626667.1,"Xylella phage Prado, complete genome",43940,canonical_xanthomonas,Xylella,yes
KF626668.1,"Phage Salvo, complete genome",55601,canonical_xanthomonas,Unknown,yes
KF771236.1,"Escherichia phage bV_EcoS_AHP24, complete genome",46719,canonical_xanthomonas,Escherichia,yes
KF771237.1,"Escherichia phage bV_EcoS_AHP42, complete genome",46847,canonical_xanthomonas,Escherichia,yes
KF771238.1,"Escherichia phage bV_EcoS_AHS24, complete genome",46440,canonical_xanthomonas,Escherichia,yes
KF771239.1,"Escherichia phage bV_EcoS_AKS96, complete genome",45746,canonical_xanthomonas,Escherichia,yes
KF787094.1,"Achromobacter phage JWDelta, complete genome",73659,canonical_xanthomonas,Achromobacter,yes
KF787095.1,"Achromobacter phage JWAlpha, complete genome",72329,canonical_xanthomonas,Achromobacter,yes
KJ628499.1,"Acinetobacter phage vB_AbaM_phiAbaA1, complete genome",104906,canonical_xanthomonas,Acinetobacter,yes
KP202971.1,"Achromobacter phage JWF, complete genome",81541,canonical_xanthomonas,Achromobacter,yes
KU197013.1,"Xanthomonas phage XAJ24, complete genome",44862,canonical_xanthomonas,Xanthomonas,yes
KU197014.1,"Xanthomonas phage XAJ2, complete genome",49241,canonical_xanthomonas,Xanthomonas,yes
KU595432.1,"Xanthomonas phage f20-Xaj, complete genome",43851,canonical_xanthomonas,Xanthomonas,yes
KU595433.1,"Xanthomonas phage f30-Xaj, complete genome",44262,canonical_xanthomonas,Xanthomonas,yes
