gene	start	stop	strand	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
VRRXIRZD_CDS_0001	2	427	+	JN882298.1	-93.19783	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	12785	26.48135	6.375857078468026e-06	No_custom_HMM	No_custom_HMM	No_custom_HMM	12785	ab initio prediction:PHANOTATE:1.6.7	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0002	446	757	+	JN882298.1	-65.28758	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0003	932	1258	+	JN882298.1	-170.2919	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0004	1260	1565	+	JN882298.1	-37.4617	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0005	1552	1656	+	JN882298.1	-3.286099	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0006	1663	1938	+	JN882298.1	-79.82082	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0007	1938	2105	+	JN882298.1	-4.689882	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROGs_HMM	ab initio prediction:PHANOTATE:1.6.7	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0008	2105	2923	+	JN882298.1	-21167.59	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	47	129.886185	2.5433934395742463e-37	No_custom_HMM	No_custom_HMM	No_custom_HMM	47	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0009	2910	4193	+	JN882298.1	-93492170.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	19	194.998566	5.431467818922321e-57	No_custom_HMM	No_custom_HMM	No_custom_HMM	19	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0010	4190	4777	+	JN882298.1	-6026.152	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	318	227.692703	4.8179792065197415e-67	No_custom_HMM	No_custom_HMM	No_custom_HMM	318	ab initio prediction:PHANOTATE:1.6.7	CDS	#838383	deoxyribonucleoside 5' monophosphate phosphatase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0011	4764	5057	+	JN882298.1	-113.1371	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	154	69.015259	6.80501322051729e-19	No_custom_HMM	No_custom_HMM	No_custom_HMM	154	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	replication initiation protein	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
VRRXIRZD_CDS_0012	5057	7450	+	JN882298.1	-510900000000000.0	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	9556	468.995636	3.238137134577684e-140	No_custom_HMM	No_custom_HMM	No_custom_HMM	9556	ab initio prediction:PHANOTATE:1.6.7	CDS	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
