accession,files_present,genome_fna_bytes,proteins_faa_bytes,genes_gff_bytes,cds_fna_bytes
CP003873,"cds.fna,genes.gff,genome.fna,proteins.faa",4733497,1668825,2586522,4893902
CP045452,"cds.fna,genes.gff,genome.fna,proteins.faa",5075322,431390,2316314,5169930
CP076725,"cds.fna,genes.gff,genome.fna,proteins.faa",5337550,1796508,2815789,5446041
CP090954,"cds.fna,genes.gff,genome.fna,proteins.faa",5219196,1737394,2776247,5330773
KY000037,,,,,
LT604072,"cds.fna,genes.gff,genome.fna,proteins.faa",4774410,1623107,2560857,4932212
NC_004547,"cds.fna,genes.gff,genome.fna,proteins.faa",5127389,1810124,2811620,5261513
NZ_AP041801,"cds.fna,genes.gff,genome.fna,proteins.faa",4838030,1754133,2810245,5132142
NZ_CP012348,"cds.fna,genes.gff,genome.fna,proteins.faa",4841499,1620771,2976866,5148796
NZ_CP013250,"cds.fna,genes.gff,genome.fna,proteins.faa",5406703,1869166,3133780,5540756
NZ_CP014028,"cds.fna,genes.gff,genome.fna,proteins.faa",6347204,2340872,3698821,6824133
NZ_CP016892,"cds.fna,genes.gff,genome.fna,proteins.faa",5179515,1733662,3050854,5358067
NZ_CP017928,"cds.fna,genes.gff,genome.fna,proteins.faa",6665169,2389836,3996205,7080507
NZ_CP022009,"cds.fna,genes.gff,genome.fna,proteins.faa",8966024,3091943,4874979,9282842
NZ_CP026795,"cds.fna,genes.gff,genome.fna,proteins.faa",4862474,1381594,3247023,5278712
NZ_CP049154,"cds.fna,genes.gff,genome.fna,proteins.faa",4488132,1623669,2675797,4749132
NZ_CP066006,"cds.fna,genes.gff,genome.fna,proteins.faa",6881719,2502899,3896967,7360736
NZ_CP074661,"cds.fna,genes.gff,genome.fna,proteins.faa",4786921,1693677,2897385,5070411
NZ_CP077850,"cds.fna,genes.gff,genome.fna,proteins.faa",3880431,1309010,2234963,3952298
NZ_CP082179,"cds.fna,genes.gff,genome.fna,proteins.faa",4164939,1299044,2529388,4263672
NZ_CP103838,"cds.fna,genes.gff,genome.fna,proteins.faa",5375179,1797188,2817683,5472038
NZ_CP114795,"cds.fna,genes.gff,genome.fna,proteins.faa",5117200,1703665,2587195,5211121
NZ_CP118477,"cds.fna,genes.gff,genome.fna,proteins.faa",5345665,1649389,2884729,5465331
NZ_CP140715,"cds.fna,genes.gff,genome.fna,proteins.faa",3562492,1206656,2134011,3674104
NZ_CP150073,"cds.fna,genes.gff,genome.fna,proteins.faa",4988917,1484885,2859741,5138415
NZ_CP155948,"cds.fna,genes.gff,genome.fna,proteins.faa",5215023,1751271,2739020,5292741
NZ_CP155977,"cds.fna,genes.gff,genome.fna,proteins.faa",5126196,1700499,2716639,5203254
NZ_CP167225,"cds.fna,genes.gff,genome.fna,proteins.faa",5121535,1767571,2639678,5226958
NZ_CP167993,"cds.fna,genes.gff,genome.fna,proteins.faa",5120978,1705078,2651203,5147839
NZ_CP168206,"cds.fna,genes.gff,genome.fna,proteins.faa",5247557,1771797,2721771,5358609
NZ_CP169751,"cds.fna,genes.gff,genome.fna,proteins.faa",5455621,1787760,2990582,5567467
NZ_CP172379,"cds.fna,genes.gff,genome.fna,proteins.faa",1713074,654420,1104111,1948329
NZ_CP173422,"cds.fna,genes.gff,genome.fna,proteins.faa",5343533,1815219,2693193,5481016
NZ_CP182287,"cds.fna,genes.gff,genome.fna,proteins.faa",2652753,816824,1513585,2591755
NZ_JBWJFR000000000,"cds.fna,genes.gff,genome.fna,proteins.faa",5338411,1770028,2921581,5462682
PY746849,,,,,
