accession,files_present,genome_fna_bytes,proteins_faa_bytes,cds_fna_bytes
AB720063.2,"cds.fna,genome.fna,proteins.faa",44552,14730,42296
AB720064.1,"cds.fna,genome.fna,proteins.faa",43638,14471,42075
AE017220.1,genome.fna,4835060,,
AP008979.1,"cds.fna,genome.fna,proteins.faa",44466,16891,46552
AP008986.1,"cds.fna,genome.fna,proteins.faa",47372,14825,47776
AP018399.1,"cds.fna,genome.fna,proteins.faa",390223,183319,400809
AY299121.1,"cds.fna,genome.fna,proteins.faa",45059,12444,44579
AY374448.1,"cds.fna,genome.fna,proteins.faa",52389,14977,53371
AY394005.1,"cds.fna,genome.fna,proteins.faa",38202,16145,40577
AY682195.1,"cds.fna,genome.fna,proteins.faa",133455,47845,125006
AY986977.1,"cds.fna,genome.fna,proteins.faa",56645,23032,58972
DQ222855.1,"cds.fna,genome.fna,proteins.faa",38670,16083,39788
DQ777876.1,"cds.fna,genome.fna,proteins.faa",45210,16074,45032
EF177456.2,"cds.fna,genome.fna,proteins.faa",43233,20061,45420
EU710883.1,"cds.fna,genome.fna,proteins.faa",85838,39308,87623
EU717894.1,"cds.fna,genome.fna,proteins.faa",44763,19312,43089
FJ373894.1,"cds.fna,genome.fna,proteins.faa",160320,63032,167162
FQ312032.1,"cds.fna,genome.fna,proteins.faa",159357,61373,166156
GQ357915.1,"cds.fna,genome.fna,proteins.faa",159787,70103,169139
GU070616.1,"cds.fna,genome.fna,proteins.faa",148104,64437,161055
GU296433.1,"cds.fna,genome.fna,proteins.faa",137030,48378,138745
HM004124.1,"cds.fna,genome.fna,proteins.faa",172429,96088,183608
HM246720.1,"cds.fna,genome.fna,proteins.faa",54076,14299,55394
JN022534.1,"cds.fna,genome.fna,proteins.faa",50757,24653,53229
JN882285.1,"cds.fna,genome.fna,proteins.faa",363848,165741,389469
JN882298.1,"cds.fna,genome.fna,proteins.faa",43270,7869,36792
JQ015307.1,"cds.fna,genome.fna,proteins.faa",144439,77543,149618
KF005317.1,"cds.fna,genome.fna,proteins.faa",105458,41265,94631
KF005318.1,"cds.fna,genome.fna,proteins.faa",103241,38482,93826
KF005319.1,"cds.fna,genome.fna,proteins.faa",102120,33048,92722
KF005320.1,"cds.fna,genome.fna,proteins.faa",105586,30587,95878
KF148055.1,"cds.fna,genome.fna,proteins.faa",44121,24180,46808
KF623293.1,"cds.fna,genome.fna,proteins.faa",78998,30855,80832
