accession,gcf_accession,organism_name,source,matrix_interactions,notes
NZ_CP014028,GCF_001559195.1,Achromobacter xylosoxidans,confirmed_matrix,3,
NZ_CP140715,GCF_034555415.1,Acinetobacter johnsonii,confirmed_matrix,2,
GCF_000092025.1,GCF_000092025.1,Agrobacterium fabrum str. C58,confirmed_matrix,1,replaced KY000037 (was plasmid); C58 is canonical Agrobacterium reference genome
CP003873,GCF_000300175.1,Alteromonas macleodii str. Balearic Sea AD45,confirmed_matrix,,
NZ_CP022009,GCF_002208175.1,Burkholderia gladioli,confirmed_matrix,1,
NZ_CP172379,GCF_044336605.1,Campylobacter jejuni,confirmed_matrix,2,
NZ_CP049154,GCF_018884125.1,Cronobacter sakazakii,confirmed_matrix,2,
NZ_CP066006,GCF_016127415.1,Delftia acidovorans,confirmed_matrix,2,
NZ_CP077850,GCF_027557715.1,Erwinia amylovora,confirmed_matrix,2,
NZ_CP017928,GCF_001870185.1,Klebsiella oxytoca,confirmed_matrix,1,
NZ_CP016892,GCF_001709315.1,Pantoea agglomerans,confirmed_matrix,2,
NC_004547,GCF_000011605.1,Pectobacterium atrosepticum SCRI1043,confirmed_matrix,2,
GCF_000006765.1,GCF_000006765.1,Pseudomonas aeruginosa PAO1,confirmed_matrix,0,replaced PY746849 (was patent sequence); PAO1 is canonical Pseudomonas reference genome
NZ_CP012348,GCF_000330485.2,Salmonella enterica serovar Pullorum,confirmed_matrix,,
NZ_CP074661,GCF_001713515.2,Salmonella enteritidis,confirmed_matrix,2,
NZ_CP026795,GCF_002950275.1,Shigella boydii,confirmed_matrix,2,
NZ_AP041801,GCF_055383255.1,Stenotrophomonas maltophilia,confirmed_matrix,3,
NZ_CP013250,GCF_001879585.1,Vibrio parahaemolyticus,confirmed_matrix,2,
NZ_JBWJFR000000000,GCF_056391455.1,Xanthomonas arboricola,confirmed_matrix,7,DUPLICATE_ACCESSION: same NZ_JBWJFR000000000 also used for X. arboricola pv. pruni in matrix — two matrix columns share one genome. WGS master record (multi-scaffold). Truth table must resolve which strain each column represents.
NZ_CP168206,GCF_040201855.2,Xanthomonas arboricola pv. juglandis,confirmed_matrix,7,
NZ_JBWJFR000000000,GCF_056391455.1,Xanthomonas arboricola pv. pruni,confirmed_matrix,7,DUPLICATE_ACCESSION: same NZ_JBWJFR000000000 also used for X. arboricola (generic) in matrix — see above.
NZ_CP169751,GCF_054698555.1,Xanthomonas campestris,confirmed_matrix,3,
NZ_CP155977,GCF_045719835.1,Xanthomonas campestris pv. campestris,confirmed_matrix,3,
NZ_CP155948,GCF_045712965.1,Xanthomonas campestris pv. campestris str. 8004,confirmed_matrix,3,
NZ_CP103838,GCF_033441615.1,Xanthomonas campestris pv. pelargonii,confirmed_matrix,4,
NZ_CP118477,GCF_056096515.1,Xanthomonas citri,confirmed_matrix,9,
NZ_CP114795,GCF_042763795.1,Xanthomonas citri pv. citri,confirmed_matrix,9,
NZ_CP167225,GCF_041463635.1,Xanthomonas euvesicatoria,confirmed_matrix,7,
NZ_CP082179,GCF_022117535.1,Xanthomonas fragariae,confirmed_matrix,2,
NZ_CP150073,GCF_046105815.1,Xanthomonas oryzae,confirmed_matrix,45,DUPLICATE_ACCESSION: same NZ_CP150073 also used for X. oryzae pv. oryzae — two matrix columns share one genome.
NZ_CP150073,GCF_046105815.1,Xanthomonas oryzae pv. oryzae,confirmed_matrix,45,DUPLICATE_ACCESSION: same NZ_CP150073 also used for X. oryzae (species level) — see above.
