Phage,Phage_Accession,Host_Name,Host_Accession,Affinity,Source
"Stenotrophomonas phage vB_Srh_LBjhp91a, complete genome",PV156121.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PV156121.1
"Stenotrophomonas phage vB_Srh_LBjhp91a, complete genome",PV156121.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PV156121.1
"Stenotrophomonas phage vB_Srh_LBjhp91a, complete genome",PV156121.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PV156121.1
"Stenotrophomonas phage vB_Srh_LBjhp91a, complete genome",PV156121.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PV156121.1
"Stenotrophomonas phage BUCT798, complete genome",PZ099256.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PZ099256.1
"Stenotrophomonas phage BUCT798, complete genome",PZ099256.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PZ099256.1
"Stenotrophomonas phage BUCT798, complete genome",PZ099256.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PZ099256.1
"Stenotrophomonas phage BUCT798, complete genome",PZ099256.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PZ099256.1
"Stenotrophomonas phage Passau, complete genome",PX963132.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963132.1
"Stenotrophomonas phage Passau, complete genome",PX963132.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963132.1
"Stenotrophomonas phage Passau, complete genome",PX963132.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963132.1
"Stenotrophomonas phage Passau, complete genome",PX963132.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963132.1
"Stenotrophomonas phage Solingen, complete genome",PX963130.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963130.1
"Stenotrophomonas phage Solingen, complete genome",PX963130.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963130.1
"Stenotrophomonas phage Solingen, complete genome",PX963130.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963130.1
"Stenotrophomonas phage Solingen, complete genome",PX963130.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963130.1
"Stenotrophomonas phage Pirna, complete genome",PX963129.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963129.1
"Stenotrophomonas phage Pirna, complete genome",PX963129.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963129.1
"Stenotrophomonas phage Pirna, complete genome",PX963129.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963129.1
"Stenotrophomonas phage Pirna, complete genome",PX963129.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963129.1
"Stenotrophomonas phage Siegen, complete genome",PX963128.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963128.1
"Stenotrophomonas phage Siegen, complete genome",PX963128.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963128.1
"Stenotrophomonas phage Siegen, complete genome",PX963128.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963128.1
"Stenotrophomonas phage Siegen, complete genome",PX963128.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963128.1
"Stenotrophomonas phage Potsdam, complete genome",PX963126.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963126.1
"Stenotrophomonas phage Potsdam, complete genome",PX963126.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963126.1
"Stenotrophomonas phage Potsdam, complete genome",PX963126.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963126.1
"Stenotrophomonas phage Potsdam, complete genome",PX963126.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX963126.1
"Escherichia phage Serwaa, complete genome",PX021331.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX021331.1
"Escherichia phage Serwaa, complete genome",PX021331.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX021331.1
"Escherichia phage Serwaa, complete genome",PX021331.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX021331.1
"Escherichia phage Serwaa, complete genome",PX021331.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX021331.1
"Stenotrophomonas phage CP-p-PMA-23011, complete genome",PX872916.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX872916.1
"Stenotrophomonas phage CP-p-PMA-23011, complete genome",PX872916.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX872916.1
"Stenotrophomonas phage CP-p-PMA-23011, complete genome",PX872916.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX872916.1
"Stenotrophomonas phage CP-p-PMA-23011, complete genome",PX872916.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX872916.1
"Stenotrophomonas phage BCVI_Sma-b24phi, complete genome",PX828564.1,Xanthomonas oryzae pv. oryzae,NZ_CP150073,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX828564.1
"Stenotrophomonas phage BCVI_Sma-b24phi, complete genome",PX828564.1,Xanthomonas campestris pv. campestris,NZ_CP155977,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX828564.1
"Stenotrophomonas phage BCVI_Sma-b24phi, complete genome",PX828564.1,Xanthomonas axonopodis,NZ_CP167870,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX828564.1
"Stenotrophomonas phage BCVI_Sma-b24phi, complete genome",PX828564.1,Xanthomonas citri,NZ_CP118477,0,Module_A_cross_genus:Stenotrophomonas|NCBI:PX828564.1
