orf_id,phage_acc,length_aa,hmm_score,hmm_match_pfam,ml_score,combined_score,evidence_track,rank,passes_threshold
EU717894.1_orf_00001,EU717894.1,712,342.000000,unknown_C54,,1.000000,hmm,1,True
EU717894.1_orf_00021,EU717894.1,918,235.100000,unknown_C112,,1.000000,hmm,2,True
EU717894.1_orf_00003,EU717894.1,224,56.700000,unknown_C294,,1.000000,hmm,3,True
EU717894.1_orf_00002,EU717894.1,929,,,,,,4,False
EU717894.1_orf_00004,EU717894.1,205,,,,,,5,False
EU717894.1_orf_00005,EU717894.1,233,,,,,,6,False
EU717894.1_orf_00006,EU717894.1,329,,,,,,7,False
EU717894.1_orf_00007,EU717894.1,117,,,,,,8,False
EU717894.1_orf_00008,EU717894.1,290,,,,,,9,False
EU717894.1_orf_00009,EU717894.1,795,,,,,,10,False
EU717894.1_orf_00010,EU717894.1,88,,,,,,11,False
EU717894.1_orf_00011,EU717894.1,157,,,,,,12,False
EU717894.1_orf_00012,EU717894.1,157,,,,,,13,False
EU717894.1_orf_00013,EU717894.1,470,,,,,,14,False
EU717894.1_orf_00014,EU717894.1,176,,,,,,15,False
EU717894.1_orf_00015,EU717894.1,144,,,,,,16,False
EU717894.1_orf_00016,EU717894.1,158,,,,,,17,False
EU717894.1_orf_00017,EU717894.1,172,,,,,,18,False
EU717894.1_orf_00018,EU717894.1,134,,,,,,19,False
EU717894.1_orf_00019,EU717894.1,84,,,,,,20,False
EU717894.1_orf_00020,EU717894.1,214,,,,,,21,False
EU717894.1_orf_00022,EU717894.1,177,,,,,,22,False
EU717894.1_orf_00023,EU717894.1,337,,,,,,23,False
EU717894.1_orf_00024,EU717894.1,139,,,,,,24,False
EU717894.1_orf_00025,EU717894.1,334,,,,,,25,False
EU717894.1_orf_00026,EU717894.1,208,,,,,,26,False
EU717894.1_orf_00027,EU717894.1,516,,,,,,27,False
EU717894.1_orf_00028,EU717894.1,499,,,,,,28,False
EU717894.1_orf_00029,EU717894.1,96,,,,,,29,False
EU717894.1_orf_00030,EU717894.1,133,,,,,,30,False
EU717894.1_orf_00031,EU717894.1,252,,,,,,31,False
EU717894.1_orf_00032,EU717894.1,184,,,,,,32,False
EU717894.1_orf_00033,EU717894.1,54,,,,,,33,False
EU717894.1_orf_00034,EU717894.1,121,,,,,,34,False
EU717894.1_orf_00035,EU717894.1,215,,,,,,35,False
EU717894.1_orf_00036,EU717894.1,203,,,,,,36,False
EU717894.1_orf_00037,EU717894.1,45,,,,,,37,False
EU717894.1_orf_00038,EU717894.1,62,,,,,,38,False
EU717894.1_orf_00039,EU717894.1,109,,,,,,39,False
EU717894.1_orf_00040,EU717894.1,55,,,,,,40,False
EU717894.1_orf_00041,EU717894.1,79,,,,,,41,False
EU717894.1_orf_00042,EU717894.1,60,,,,,,42,False
EU717894.1_orf_00043,EU717894.1,39,,,,,,43,False
EU717894.1_orf_00044,EU717894.1,81,,,,,,44,False
EU717894.1_orf_00045,EU717894.1,68,,,,,,45,False
EU717894.1_orf_00046,EU717894.1,163,,,,,,46,False
EU717894.1_orf_00047,EU717894.1,95,,,,,,47,False
EU717894.1_orf_00048,EU717894.1,564,,,,,,48,False
EU717894.1_orf_00049,EU717894.1,266,,,,,,49,False
EU717894.1_orf_00050,EU717894.1,186,,,,,,50,False
EU717894.1_orf_00051,EU717894.1,118,,,,,,51,False
EU717894.1_orf_00052,EU717894.1,107,,,,,,52,False
EU717894.1_orf_00053,EU717894.1,95,,,,,,53,False
EU717894.1_orf_00054,EU717894.1,95,,,,,,54,False
EU717894.1_orf_00055,EU717894.1,197,,,,,,55,False
EU717894.1_orf_00056,EU717894.1,118,,,,,,56,False
EU717894.1_orf_00057,EU717894.1,213,,,,,,57,False
EU717894.1_orf_00058,EU717894.1,325,,,,,,58,False
