accession,status,filename,note
PX408739.1,success,phage_genomes/PX408739.1.fasta,43100 bp
PX408738.1,success,phage_genomes/PX408738.1.fasta,93995 bp
PX408737.1,success,phage_genomes/PX408737.1.fasta,288866 bp
PZ019803.1,success,phage_genomes/PZ019803.1.fasta,47424 bp
PZ019802.1,success,phage_genomes/PZ019802.1.fasta,47410 bp
PZ019801.1,success,phage_genomes/PZ019801.1.fasta,47421 bp
PZ019800.1,success,phage_genomes/PZ019800.1.fasta,47424 bp
PZ019799.1,success,phage_genomes/PZ019799.1.fasta,47892 bp
PX997083.1,success,phage_genomes/PX997083.1.fasta,42942 bp
PQ569993.1,success,phage_genomes/PQ569993.1.fasta,91478 bp
PX630741.1,success,phage_genomes/PX630741.1.fasta,44850 bp
PX630740.1,success,phage_genomes/PX630740.1.fasta,45121 bp
PX630739.1,success,phage_genomes/PX630739.1.fasta,45101 bp
PX630738.1,success,phage_genomes/PX630738.1.fasta,45165 bp
PX630737.1,success,phage_genomes/PX630737.1.fasta,45142 bp
PX630736.1,success,phage_genomes/PX630736.1.fasta,45165 bp
PX630735.1,success,phage_genomes/PX630735.1.fasta,45805 bp
PX630734.1,success,phage_genomes/PX630734.1.fasta,45119 bp
PX630733.1,success,phage_genomes/PX630733.1.fasta,45678 bp
PX630732.1,success,phage_genomes/PX630732.1.fasta,45121 bp
PX630731.1,success,phage_genomes/PX630731.1.fasta,45121 bp
PX682330.1,success,phage_genomes/PX682330.1.fasta,46935 bp
PX682329.1,success,phage_genomes/PX682329.1.fasta,46926 bp
PX682328.1,success,phage_genomes/PX682328.1.fasta,45661 bp
PX682327.1,success,phage_genomes/PX682327.1.fasta,46024 bp
PX682324.1,success,phage_genomes/PX682324.1.fasta,44934 bp
PX682323.1,success,phage_genomes/PX682323.1.fasta,46745 bp
PX682322.1,success,phage_genomes/PX682322.1.fasta,44718 bp
PX682321.1,success,phage_genomes/PX682321.1.fasta,43218 bp
PX682320.1,success,phage_genomes/PX682320.1.fasta,44811 bp
PX682319.1,success,phage_genomes/PX682319.1.fasta,46120 bp
PX682318.1,success,phage_genomes/PX682318.1.fasta,45721 bp
PX682317.1,success,phage_genomes/PX682317.1.fasta,44555 bp
PX682316.1,success,phage_genomes/PX682316.1.fasta,44811 bp
PX682315.1,success,phage_genomes/PX682315.1.fasta,46119 bp
PX682314.1,success,phage_genomes/PX682314.1.fasta,43967 bp
PX682313.1,success,phage_genomes/PX682313.1.fasta,44381 bp
PX682312.1,success,phage_genomes/PX682312.1.fasta,44139 bp
PX682311.1,success,phage_genomes/PX682311.1.fasta,43916 bp
PX682310.1,success,phage_genomes/PX682310.1.fasta,44681 bp
PX682309.1,success,phage_genomes/PX682309.1.fasta,44555 bp
PX682308.1,success,phage_genomes/PX682308.1.fasta,44507 bp
PX682307.1,success,phage_genomes/PX682307.1.fasta,46168 bp
PX682306.1,success,phage_genomes/PX682306.1.fasta,46142 bp
PX682305.1,success,phage_genomes/PX682305.1.fasta,42448 bp
PX682304.1,success,phage_genomes/PX682304.1.fasta,44733 bp
PX682303.1,success,phage_genomes/PX682303.1.fasta,45818 bp
PX682302.1,success,phage_genomes/PX682302.1.fasta,44862 bp
PX682301.1,success,phage_genomes/PX682301.1.fasta,42506 bp
PX682300.1,success,phage_genomes/PX682300.1.fasta,43813 bp
PX682299.1,success,phage_genomes/PX682299.1.fasta,43353 bp
PX444441.1,success,phage_genomes/PX444441.1.fasta,45675 bp
OP413789.1,success,phage_genomes/OP413789.1.fasta,44713 bp
PX530551.1,success,phage_genomes/PX530551.1.fasta,42184 bp
PX310626.1,success,phage_genomes/PX310626.1.fasta,62551 bp
NC_128954.1,success,phage_genomes/NC_128954.1.fasta,49241 bp
PP431385.1,success,phage_genomes/PP431385.1.fasta,16361 bp
PV764603.1,success,phage_genomes/PV764603.1.fasta,229154 bp
PV764602.1,success,phage_genomes/PV764602.1.fasta,228725 bp
PV764601.1,success,phage_genomes/PV764601.1.fasta,227648 bp
PV764600.1,success,phage_genomes/PV764600.1.fasta,47821 bp
PV764599.1,success,phage_genomes/PV764599.1.fasta,46786 bp
PV764598.1,success,phage_genomes/PV764598.1.fasta,47720 bp
PV037726.1,success,phage_genomes/PV037726.1.fasta,43817 bp
PV754127.1,success,phage_genomes/PV754127.1.fasta,46883 bp
PV702347.1,success,phage_genomes/PV702347.1.fasta,47229 bp
PV506377.1,success,phage_genomes/PV506377.1.fasta,46608 bp
PV408261.1,success,phage_genomes/PV408261.1.fasta,46109 bp
PQ571296.1,success,phage_genomes/PQ571296.1.fasta,43668 bp
PQ571276.1,success,phage_genomes/PQ571276.1.fasta,57510 bp
PQ571275.1,success,phage_genomes/PQ571275.1.fasta,57555 bp
PP475461.1,success,phage_genomes/PP475461.1.fasta,113538 bp
PP391664.1,success,phage_genomes/PP391664.1.fasta,45571 bp
PP391663.1,success,phage_genomes/PP391663.1.fasta,45529 bp
PP391662.1,success,phage_genomes/PP391662.1.fasta,45675 bp
PP391661.1,success,phage_genomes/PP391661.1.fasta,45532 bp
PP391660.1,success,phage_genomes/PP391660.1.fasta,44959 bp
PP391659.1,success,phage_genomes/PP391659.1.fasta,44947 bp
PV012638.1,success,phage_genomes/PV012638.1.fasta,43900 bp
PQ476032.1,success,phage_genomes/PQ476032.1.fasta,44403 bp
OQ446487.1,success,phage_genomes/OQ446487.1.fasta,44389 bp
OQ446486.1,success,phage_genomes/OQ446486.1.fasta,44388 bp
OQ446484.1,success,phage_genomes/OQ446484.1.fasta,43993 bp
OQ446483.1,success,phage_genomes/OQ446483.1.fasta,44389 bp
PQ093899.1,success,phage_genomes/PQ093899.1.fasta,41106 bp
PQ067315.1,success,phage_genomes/PQ067315.1.fasta,10956 bp
PP780467.1,success,phage_genomes/PP780467.1.fasta,43506 bp
OQ446488.1,success,phage_genomes/OQ446488.1.fasta,44145 bp
